LEAGUE_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,START_YEAR,END_YEAR,YEARS,GAMES,WINS,LOSSES,WIN_PCT,PO_APPEARANCES,DIV_TITLES,CONF_TITLES,LEAGUE_TITLES
00,1610612737,Atlanta,Hawks,1949,2023,75,5939,2928,3011,0.493,49,11,0,1
00,1610612737,Atlanta,Hawks,1968,2023,56,4519,2229,2290,0.493,36,5,0,0
00,1610612737,St. Louis,Hawks,1955,1967,13,1008,555,453,0.55,12,6,0,1
00,1610612737,Milwaukee,Hawks,1951,1954,4,280,90,190,0.321,0,0,0,0
00,1610612737,Tri-Cities,Blackhawks,1949,1950,2,132,54,78,0.409,1,0,0,0
00,1610612738,Boston,Celtics,1946,2023,78,6115,3634,2480,0.594,61,34,11,18
00,1610612751,Brooklyn,Nets,1976,2023,48,3868,1654,2214,0.427,24,4,2,0
00,1610612751,Brooklyn,Nets,2012,2023,12,964,446,518,0.462,8,0,0,0
00,1610612751,New Jersey,Nets,1977,2011,35,2822,1186,1636,0.42,16,4,2,0
00,1610612751,New York,Nets,1976,1976,1,82,22,60,0.268,0,0,0,0
00,1610612766,Charlotte,Hornets,1988,2023,34,2713,1174,1539,0.432,10,0,0,0
00,1610612766,Charlotte,Hornets,1988,2023,24,1909,881,1028,0.461,10,0,0,0
00,1610612766,Charlotte,Bobcats,2004,2013,10,804,293,511,0.364,2,0,0,0
00,1610612741,Chicago,Bulls,1966,2023,58,4680,2383,2297,0.509,36,9,6,6
00,1610612739,Cleveland,Cavaliers,1970,2023,54,4353,2032,2321,0.466,24,7,5,1
00,1610612742,Dallas,Mavericks,1980,2023,44,3543,1797,1746,0.507,25,4,3,1
00,1610612743,Denver,Nuggets,1976,2023,48,3869,1954,1915,0.505,30,10,1,1
00,1610612765,Detroit,Pistons,1948,2023,76,6000,2828,3172,0.471,42,12,5,3
00,1610612765,Detroit,Pistons,1957,2023,67,5379,2514,2865,0.467,34,9,5,3
00,1610612765,Ft. Wayne Zollner,Pistons,1948,1956,9,621,314,307,0.505,8,3,0,0
00,1610612744,Golden State,Warriors,1946,2023,78,6103,2969,3134,0.486,37,12,7,7
00,1610612744,Golden State,Warriors,1971,2023,53,4271,2081,2190,0.487,20,7,7,5
00,1610612744,San Francisco,Warriors,1962,1970,9,729,330,399,0.452,5,2,0,0
00,1610612744,Philadelphia,Warriors,1946,1961,16,1103,558,545,0.505,12,3,0,2
00,1610612745,Houston,Rockets,1967,2023,57,4606,2369,2237,0.514,34,8,4,2
00,1610612745,Houston,Rockets,1971,2023,53,4278,2250,2028,0.525,33,8,4,2
00,1610612745,San Diego,Rockets,1967,1970,4,328,119,209,0.362,1,0,0,0
00,1610612754,Indiana,Pacers,1976,2023,48,3869,1930,1938,0.498,28,6,1,0
00,1610612746,LA,Clippers,1970,2023,54,4360,1843,2517,0.422,18,3,0,0
00,1610612746,LA,Clippers,2015,2023,9,718,427,291,0.594,7,1,0,0
00,1610612746,Los Angeles,Clippers,1984,2014,31,2494,971,1523,0.389,8,2,0,0
00,1610612746,San Diego,Clippers,1978,1983,6,492,186,306,0.378,0,0,0,0
00,1610612746,Buffalo,Braves,1970,1977,8,656,259,397,0.394,3,0,0,0
00,1610612747,Los Angeles,Lakers,1948,2023,76,6007,3552,2455,0.591,64,35,19,17
00,1610612747,Los Angeles,Lakers,1960,2023,64,5165,3093,2072,0.598,53,30,19,12
00,1610612747,Minneapolis,Lakers,1948,1959,12,842,459,383,0.545,11,5,0,5
00,1610612763,Memphis,Grizzlies,1995,2023,29,2311,998,1313,0.431,13,2,0,0
00,1610612763,Memphis,Grizzlies,2001,2023,23,1851,897,954,0.484,13,2,0,0
00,1610612763,Vancouver,Grizzlies,1995,2000,6,460,101,359,0.219,0,0,0,0
00,1610612748,Miami,Heat,1988,2023,36,2885,1521,1364,0.527,25,16,7,3
00,1610612749,Milwaukee,Bucks,1968,2023,56,4525,2389,2136,0.527,36,18,3,2
00,1610612750,Minnesota,Timberwolves,1989,2023,35,2794,1147,1647,0.41,12,1,0,0
00,1610612740,New Orleans,Pelicans,2002,2023,22,1768,831,937,0.47,9,1,0,0
00,1610612740,New Orleans,Pelicans,2013,2023,11,882,412,470,0.467,4,0,0,0
00,1610612740,New Orleans,Hornets,2002,2012,9,722,342,380,0.473,5,1,0,0
00,1610612740,New Orleans/Oklahoma City,Hornets,2005,2006,2,164,77,87,0.469,0,0,0,0
00,1610612752,New York,Knicks,1946,2023,78,6106,2974,3132,0.487,44,9,4,2
00,1610612760,Oklahoma City,Thunder,1967,2023,57,4606,2470,2136,0.536,33,12,4,1
00,1610612760,Oklahoma City,Thunder,2008,2023,16,1276,725,551,0.568,11,6,1,0
00,1610612760,Seattle,SuperSonics,1967,2007,41,3330,1745,1585,0.524,22,6,3,1
00,1610612753,Orlando,Magic,1989,2023,35,2803,1315,1488,0.469,17,8,2,0
